,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
16404,Horace,11908,Valid,H5,19700.0,Found,1940.0,38.35,-101.78333,"(38.35, -101.78333)"
16406,Horse Creek,11910,Valid,"Iron, ungrouped",570.0,Found,1937.0,37.58333,-102.76667,"(37.58333, -102.76667)"
16407,Hot Springs,11912,Valid,"Iron, IIIAB",4700.0,Found,1995.0,39.66667,-118.96667,"(39.66667, -118.96667)"
16408,Howe,11914,Valid,H5,8630.0,Found,1938.0,33.5,-96.6,"(33.5, -96.6)"
16409,Hualapai Wash,11917,Valid,L6,240.0,Found,2000.0,35.86333,-114.19333,"(35.86333, -114.19333)"
16410,Hualapai Wash 020,11918,Valid,H5,60.9,Found,2003.0,35.83833,-114.16617,"(35.83833, -114.16617)"
16411,Hualapai Wash 021,11919,Valid,H4,20.5,Found,1997.0,35.8895,-114.192,"(35.8895, -114.192)"
16413,Hub,11921,Valid,L5,6452.0,Found,1991.0,34.54,-102.59433,"(34.54, -102.59433)"
16416,Hueco Tanks,11923,Valid,L6,314.0,Found,1985.0,31.91667,-106.15,"(31.91667, -106.15)"
16417,Hueco Tanks (b),11924,Valid,H5,150.0,Found,1985.0,31.91667,-106.15,"(31.91667, -106.15)"
16476,Hugo (stone),11983,Valid,H5,80.0,Found,1936.0,39.13333,-103.48333,"(39.13333, -103.48333)"
16477,Hugoton,11984,Valid,H5,350000.0,Found,1927.0,37.2,-101.35,"(37.2, -101.35)"
16478,Huizopa,11985,Valid,"Iron, IVA",140000.0,Found,1907.0,28.9,-108.56667,"(28.9, -108.56667)"
16479,Hunter,11987,Valid,LL5,74600.0,Found,1962.0,36.56,-97.66667,"(36.56, -97.66667)"
16480,Huntsman,11988,Valid,H4,14500.0,Found,1910.0,41.18333,-103.0,"(41.18333, -103.0)"
16481,Hyattville,52755,Valid,L6,8911.0,Found,2008.0,44.33823,-107.67405,"(44.33823, -107.67405)"
16483,Idalia,11998,Valid,H,7400.0,Found,1968.0,39.695,-102.295,"(39.695, -102.295)"
16484,Ider,11999,Valid,"Iron, IIIAB",140000.0,Found,1957.0,34.68333,-85.65,"(34.68333, -85.65)"
16508,Illinois Gulch,12024,Valid,"Iron, ungrouped",2500.0,Found,1899.0,46.68333,-112.55,"(46.68333, -112.55)"
16511,Imlay,52855,Valid,L5,770.0,Found,2009.0,40.74018,-118.17285,"(40.74018, -118.17285)"
16512,Imperial,12026,Valid,H4,4.0,Found,1908.0,32.86667,-115.58333,"(32.86667, -115.58333)"
16513,Indian Valley,12029,Valid,"Iron, IIAB",14100.0,Found,1887.0,36.93333,-80.5,"(36.93333, -80.5)"
16514,Indianola,12030,Valid,L5,4000.0,Found,1939.0,40.23333,-100.41667,"(40.23333, -100.41667)"
16517,Ingalls,12033,Valid,H6,226.0,Found,1937.0,37.83333,-100.45,"(37.83333, -100.45)"
16520,Inman,12036,Valid,L/LL3.4,7250.0,Found,1966.0,38.25,-97.66667,"(38.25, -97.66667)"
16521,Ioka,12040,Valid,L3.5,31500.0,Found,1931.0,40.25,-110.08333,"(40.25, -110.08333)"
16524,Iredell,12046,Valid,"Iron, IIAB",1500.0,Found,1898.0,31.96667,-97.86667,"(31.96667, -97.86667)"
16526,Iron River,12048,Valid,"Iron, IVA",1420.0,Found,1889.0,46.07944,-88.55972,"(46.07944, -88.55972)"
16541,Ivanpah,12062,Valid,"Iron, IIIAB",58000.0,Found,1880.0,35.33333,-115.31667,"(35.33333, -115.31667)"
16543,Jackson County,12066,Valid,"Iron, IIIAB",450.0,Found,1846.0,36.41667,-85.5,"(36.41667, -85.5)"
16545,Jamestown,12071,Valid,"Iron, IVA",4000.0,Found,1885.0,46.61667,-98.5,"(46.61667, -98.5)"
16546,Jaralito,12073,Valid,"Iron, IAB-MG",11138.0,Found,1977.0,26.26583,-103.885,"(26.26583, -103.885)"
16549,Jay Bird Springs,47731,Valid,Pallasite,292.0,Found,2003.0,32.133333,-82.983333,"(32.133333, -82.983333)"
16552,Jenkins,12080,Valid,"Iron, IAB-MG",55400.0,Found,1946.0,36.82444,-93.76111,"(36.82444, -93.76111)"
16553,Jenny's Creek,12081,Valid,"Iron, IAB-MG",12000.0,Found,1883.0,37.9,-82.38333,"(37.9, -82.38333)"
16555,Jerome (Idaho),12082,Valid,L,6800.0,Found,1954.0,42.63333,-114.83333,"(42.63333, -114.83333)"
16556,Jerome (Kansas),12083,Valid,L4,29600.0,Found,1894.0,38.76667,-100.73333,"(38.76667, -100.73333)"
17265,Joe Wright Mountain,12174,Valid,"Iron, IIIAB",42600.0,Found,1884.0,35.76667,-91.5,"(35.76667, -91.5)"
17267,Johannesburg,55765,Valid,H4,63.0,Found,2012.0,35.37788,-117.63728,"(35.37788, -117.63728)"
17289,Johnson City,12197,Valid,L6,10400.0,Found,1937.0,37.55,-101.68333,"(37.55, -101.68333)"
17290,Jonah,12200,Valid,H5,1304.0,Found,1963.0,30.625,-97.53333,"(30.625, -97.53333)"
17291,Jonesboro,12201,Valid,"Iron, IVA",30.0,Found,1891.0,36.3,-82.46667,"(36.3, -82.46667)"
17292,Juanita de Angeles,12204,Valid,H5,85000.0,Found,1992.0,28.41667,-105.08333,"(28.41667, -105.08333)"
